Content,Label
It helps that Lil Bow Wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .,0.52778
"Guaranteed to move anyone who ever shook , rattled , or rolled .",0.23611
"A masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",0.29167
"Light , cute and forgettable .",0.56944
"If there 's a way to effectively teach kids about the dangers of drugs , I think it 's in projects like the -LRB- unfortunately R-rated -RRB- Paid .",0.375
"While it would be easy to give Crush the new title of Two Weddings and a Funeral , it 's a far more thoughtful film than any slice of Hugh Grant whimsy .",0.47222
"Though everything might be literate and smart , it never took off and always seemed static .",0.29167
"Cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate Vincent 's days",0.375
"Ms. Fulford-Wierzbicki is almost spooky in her sulky , calculating Lolita turn .",0.30556
"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",0.52778
"Like most Bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike .",0.18056
A heavy reliance on CGI technology is beginning to creep into the series .,0.61111
"Newton draws our attention like a magnet , and acts circles around her better known co-star , Mark Wahlberg .",0.59722
The story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .,0.72222
"Much of the way , though , this is a refreshingly novel ride .",0.33333
Fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,0.52778
The film makes a strong case for the importance of the musicians in creating the Motown sound .,0.40278
"Karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",0.22222
Gosling provides an amazing performance that dwarfs everything else in the film .,0.31944
"A real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know .",0.29167
Tender yet lacerating and darkly funny fable .,0.66667
May be spoofing an easy target -- those old ' 50 's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,0.61111
An engaging overview of Johnson 's eccentric career .,0.43056
"In its ragged , cheap and unassuming way , the movie works .",0.77778
Some actors have so much charisma that you 'd be happy to listen to them reading the phone book .,0.40278
Hugh Grant and Sandra Bullock are two such likeable actors .,0.55556
"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open .",0.55556
"Behind the snow games and lovable Siberian huskies -LRB- plus one sheep dog -RRB- , the picture hosts a parka-wrapped dose of heart .",0.76389
"Everytime you think Undercover Brother has run out of steam , it finds a new way to surprise and amuse .",0.18056
"Manages to be original , even though it rips off many of its ideas .",0.43056
"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",0.36111
You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,0.47222
Yet the act is still charming here .,0.33333
"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",0.31944
"A pleasant enough movie , held together by skilled ensemble actors .",0.5
This is the best American movie about troubled teens since 1998 's Whatever .,0.48611
Disney has always been hit-or-miss when bringing beloved kids ' books to the screen ... Tuck Everlasting is a little of both .,0.33333
Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,0.25
"The animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",0.30556
The invincible Werner Herzog is alive and well and living in LA,0.5
"Morton is a great actress portraying a complex character , but Morvern Callar grows less compelling the farther it meanders from its shocking start .",0.5
Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,0.69444
Son of the Bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,0.52778
A simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,0.66667
"A taut , intelligent psychological drama .",0.5
"A truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort .",0.51389
"This delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",0.44444
At heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,0.55556
"The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",0.5
I loved it !,0.34722
Gollum 's ` performance ' is incredible !,0.30556
a screenplay more ingeniously constructed than `` Memento '',0.5
"If this movie were a book , it would be a page-turner , you ca n't wait to see what happens next .",0.26389
Haneke challenges us to confront the reality of sexual aberration .,0.29167
Absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,0.5
"It 's the best film of the year so far , the benchmark against which all other Best Picture contenders should be measured .",0.5
"Painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances .",0.72222
"This is a startling film that gives you a fascinating , albeit depressing view of Iranian rural life close to the Iraqi border .",0.61111
"A few artsy flourishes aside , Narc is as gritty as a movie gets these days .",0.76389
"While The Isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .",0.77778
"Together , Tok and O orchestrate a buoyant , darkly funny dance of death .",0.5
"In the process , they demonstrate that there 's still a lot of life in Hong Kong cinema .",0.5
"Director Kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier English-language movie , the overpraised Elizabeth .",0.5
"The movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .",0.44444
A sports movie with action that 's exciting on the field and a story you care about off it .,0.54167
"Doug Liman , the director of Bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses Damon 's ability to be focused and sincere .",0.5
The tenderness of the piece is still intact .,0.45833
"Katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of Meeropol entertaining his children to create his song history , but most powerful of all is the song itself",0.5
"Like the film 's almost anthropologically detailed realization of early - '80s suburbia , it 's significant without being overstated .",0.5
While McFarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,0.5
"If nothing else , this movie introduces a promising , unusual kind of psychological horror .",0.65278
"In a normal screen process , these bromides would be barely enough to sustain an interstitial program on the Discovery Channel .",0.54167
"But in Imax 3-D , the clich̩s disappear into the vertiginous perspectives opened up by the photography .",0.69444
Writer-director Burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,0.77778
... a roller-coaster ride of a movie,0.13889
"I enjoyed Time of Favor while I was watching it , but I was surprised at how quickly it faded from my memory .",0.055556
"Chicago is sophisticated , brash , sardonic , completely joyful in its execution .",0.22222
Steve Irwin 's method is Ernest Hemmingway at accelerated speed and volume .,0.19444
A refreshing Korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .,0.5
"On the surface , it 's a lovers-on-the-run crime flick , but it has a lot in common with Piesiewicz 's and Kieslowski 's earlier work , films like The Double Life of Veronique .",0.54167
"The values that have held the Enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .",0.66667
"If it 's possible for a sequel to outshine the original , then SL2 does just that .",0.69444
A romantic comedy that operates by the rules of its own self-contained universe .,0.77778
"4 friends , 2 couples , 2000 miles , and all the Pabst Blue Ribbon beer they can drink - it 's the ultimate redneck road-trip .",0.84722
The film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm,0.58333
"It might be tempting to regard Mr. Andrew and his collaborators as oddballs , but Mr. Earnhart 's quizzical , charming movie allows us to see them , finally , as artists .",0.069444
A feel-good picture in the best sense of the term .,0.54167
"Edited and shot with a syncopated style mimicking the work of his subjects , Pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any MTV puffery .",0.63889
"A mostly intelligent , engrossing and psychologically resonant suspenser .",0.38889
"It 's this memory-as-identity obviation that gives Secret Life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self .",0.93056
"Hip-hop has a history , and it 's a metaphor for this love story .",0.77778
"In scope , ambition and accomplishment , Children of the Century ... takes Kurys ' career to a whole new level .",0.77778
"This may not have the dramatic gut-wrenching impact of other Holocaust films , but it 's a compelling story , mainly because of the way it 's told by the people who were there .",0.88889
Between the drama of Cube ?,0.83333
"s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .",0.875
"A gentle , compassionate drama about grief and healing .",0.52778
"Somewhere short of Tremors on the modern B-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes .",0.52778
Digital-video documentary about stand-up comedians is a great glimpse into a very different world .,0.5
"Unlike most teen flicks , Swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity .",0.55556
"An enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that Derrida would doubtless give his blessing to .",0.55556
`` Extreme Ops '' exceeds expectations .,0.77778
"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",0.63889
You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,0.30556
Dramas like this make it human .,0.47222
"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",0.45833
"Still , this flick is fun , and host to some truly excellent sequences .",0.44444
"It 's obviously struck a responsive chord with many South Koreans , and should work its magic in other parts of the world .",0.55556
"Run , do n't walk , to see this barbed and bracing comedy on the big screen .",0.61111
A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .,0.55556
It is nature against progress .,0.5
"In Fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale .",0.45833
"It 's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru .",0.72222
"This is what IMAX was made for : Strap on a pair of 3-D goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space .",0.61111
"Merely as a technical , logistical feat , Russian Ark marks a cinematic milestone .",0.72222
"-LRB- Schweiger is -RRB- talented and terribly charismatic , qualities essential to both movie stars and social anarchists .",0.625
It 's a great deal of sizzle and very little steak .,0.65278
But what spectacular sizzle it is !,0.63889
... In this incarnation its fizz is infectious .,0.77778
An original gem about an obsession with time .,0.75
It will delight newcomers to the story and those who know it from bygone days .,0.30556
Gloriously goofy -LRB- and gory -RRB- midnight movie stuff .,0.33333
The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,0.19444
"If your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .",0.29167
"It 's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .",0.66667
It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times .,0.69444
"As lo-fi as the special effects are , the folks who cobbled Nemesis together indulge the force of humanity over hardware in a way that George Lucas has long forgotten .",0.31944
Like Mike does n't win any points for originality .,0.29167
"It does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .",0.19444
"It 's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech .",0.38889
"Far from perfect , but its heart is in the right place ... innocent and well-meaning .",0.25
"A sad , superior human comedy played out on the back roads of life .",0.16667
"Waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality .",0.5
"Tim Allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .",0.5
"More a load of enjoyable , Conan-esque claptrap than the punishing , special-effects soul assaults the Mummy pictures represent .",0.55556
"Enormously likable , partly because it is aware of its own grasp of the absurd .",0.875
"Here 's a British flick gleefully unconcerned with plausibility , yet just as determined to entertain you .",0.63889
"It 's an old story , but a lively script , sharp acting and partially animated interludes make Just a Kiss seem minty fresh .",0.65278
Must be seen to be believed .,0.70833
"Ray Liotta and Jason Patric do some of their best work in their underwritten roles , but do n't be fooled : Nobody deserves any prizes here .",0.59722
"Everything that has to do with Yvan and Charlotte , and everything that has to do with Yvan 's rambunctious , Jewish sister and her non-Jew husband , feels funny and true .",0.56944
"The year 's happiest surprise , a movie that deals with a real subject in an always surprising way .",0.61111
Fans of Behan 's work and of Irish movies in general will be rewarded by Borstal Boy .,0.77778
"Its mysteries are transparently obvious , and it 's too slowly paced to be a thriller .",0.66667
-LRB- But it 's -RRB- worth recommending because of two marvelous performances by Michael Caine and Brendan Fraser .,0.69444
"The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .",0.63889
Stephen Earnhart 's homespun documentary Mule Skinner Blues has nothing but love for its posse of trailer park denizens .,0.80556
A solidly seaworthy chiller .,0.83333
If you can get past the fantastical aspects and harsh realities of `` The Isle '' you 'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else .,0.77778
"There are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it 's a welcome return to the roots of a genre that should depend on surprises .",0.66667
A well-made thriller with a certain level of intelligence and non-reactionary morality .,0.69444
"There 's enough science to make it count as educational , and enough beauty to make it unforgettable .",0.83333
"Remains a solid , if somewhat heavy-handed , account of the near-disaster ... done up by Howard with a steady , if not very imaginative , hand .",0.93056
Makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the Kurdish refugees of Iran 's borderlands .,0.76389
"For a good chunk of its running time , Trapped is an effective and claustrophobic thriller .",0.77778
Most of Crush is a clever and captivating romantic comedy with a welcome pinch of tartness .,0.5
Nair does capture the complexity of a big family and its trials and tribulations ...,0.5
"The seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going .",0.5
Rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie .,0.56944
Ranks among Willams ' best screen work .,0.52778
Engagingly captures the maddening and magnetic ebb and flow of friendship .,0.55556
An experience so engrossing it is like being buried in a new environment .,0.5
"It 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit .",0.52778
"Maybe it 's just because this past year has seen the release of some of the worst film comedies in decades ... But honestly , Analyze That really is n't all that bad .",0.47222
"A droll , well-acted , character-driven comedy with unexpected deposits of feeling .",0.625
This is simply the most fun you 'll ever have with a documentary !,0.54167
A very funny movie .,0.5
"Watching Haneke 's film is , aptly enough , a challenge and a punishment .",0.19444
"But watching Huppert , a great actress tearing into a landmark role , is riveting .",0.44444
A cop story that understands the medium amazingly well .,0.375
"Britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway .",0.61111
Those outside show business will enjoy a close look at people they do n't really want to know .,0.70833
The kind of nervous film that will either give you a mild headache or exhilarate you .,0.65278
Watching Beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it .,0.77778
"Children may not understand everything that happens -- I 'm not sure even Miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted .",0.80556
A fascinating and fun film .,0.5
"Tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .",0.27778
"This insightful , Oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance .",0.33333
I admired this work a lot .,0.34722
"Whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .",0.55556
... there are enough moments of heartbreaking honesty to keep one glued to the screen .,0.66667
"My goodness , Queen Latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts .",0.5
She must have a very strong back .,0.5
"A smart , sweet and playful romantic comedy .",0.29167
Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,0.20833
"Without heavy-handedness , Dong provides perspective with his intelligent grasp of human foibles and contradictions .",0.5
"Solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts .",0.5
"As an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting .",0.38889
It is interesting and fun to see Goodall and her chimpanzees on the bigger-than-life screen .,0.29167
It wo n't bust your gut -- and it 's not intended to -- it 's merely a blandly cinematic surgical examination of what makes a joke a joke .,0.52778
"A somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .",0.29167
"It extends the writings of Jean Genet and John Rechy , the films of Fassbinder , perhaps even the nocturnal works of Goya .",0.38889
"Narc may not get an ` A ' for originality , but it wears its B-movie heritage like a badge of honor .",0.18056
"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",0.20833
"-LRB- Drumline -RRB- is entertaining for what it does , and admirable for what it does n't do .",0.41667
At its best early on as it plays the culture clashes between the brothers .,0.27778
An unabashedly schmaltzy and thoroughly enjoyable true story .,0.43056
A thoughtful look at a painful incident that made headlines in 1995 .,0.72222
You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,0.94444
Tsai Ming-liang has taken his trademark style and refined it to a crystalline point .,0.86111
"Purely propaganda , a work of unabashed hero worship , it is nonetheless -- and likely inadvertently -- a timely and invaluable implicit reminder of the role that U.S. foreign policy has played in the rise of Castro .",0.81944
"Now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism .",0.88889
We get some truly unique character studies and a cross-section of Americana that Hollywood could n't possibly fictionalize and be believed .,0.77778
"Though this film can be clumsy , its ambitions are equally -- and admirably -- uncommercial .",0.68056
"Daring , mesmerizing and exceedingly hard to forget .",0.77778
Moore 's performance impresses almost as much as her work with Haynes in 1995 's Safe .,0.66667
"Visits spy-movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last .",0.80556
"An absorbing , slice-of-depression life that touches nerves and rings true .",0.52778
"Mr. Parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .",0.69444
The result is something quite fresh and delightful .,0.51389
All but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure .,0.27778
Despite its many infuriating flaws -- not the least of which is Amy 's self-absorbed personality -- Amy 's O 's honesty will win you over .,0.375
This is one of Polanski 's best films .,0.36111
"Day is not a great Bond movie , but it is a good Bond movie , which still makes it much better than your typical Bond knock-offs .",0.56944
Polished Korean political-action film is just as good -- and bad -- as Hollywood action epics .,0.33333
Is this progress ?,0.47222
"Elling , portrayed with quiet fastidiousness by Per Christian Ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .",0.41667
Denis and co-writer Michele Petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing .,0.23611
Lead provocatuers Testud and Parmentier give superlative performances,0.25
"An absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood .",0.33333
"I admired it , particularly that unexpected downer of an ending .",0.48611
"The passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the Mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .",0.55556
Remarkably accessible and affecting .,0.56944
Never mind whether you buy the stuff about Barris being a CIA hit man .,0.54167
"The kooky yet shadowy vision Clooney sustains throughout is daring , inventive and impressive .",0.45833
"A triumph of art direction over narrative , but what art direction !",0.5
Behan himself knew how to spin a tale and one ca n't help but think he 'd appreciate this attempt to turn his life into art .,0.40278
Jir�_ Hubac 's script is a gem .,0.41667
"His characters are engaging , intimate and the dialogue is realistic and greatly moving .",0.26389
"The scope of the Silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality . .",0.56944
"Moore 's complex and important film is also , believe it or not , immensely entertaining , a David and Goliath story that 's still very much playing itself out .",0.15278
"The additional storyline is interesting and entertaining , but it does n't have the same magical quality as the beginning of the story .",0.44444
I like the new footage and still love the old stuff .,0.58333
"Though Mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a Jules and Jim for the new millennium .",0.43056
You might not buy the ideas .,0.55556
But you 'll definitely want the T-shirt .,0.375
Provides an intriguing window into the imagination and hermetic analysis of Todd Solondz .,0.66667
"Windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live .",0.80556
Presents an astute appraisal of Middle American musical torpor and the desperate struggle to escape it .,0.76389
"Just what makes us happy , anyway ?",0.79167
"A thoughtful , moving piece that faces difficult issues with honesty and beauty .",0.70833
One of the greatest romantic comedies of the past decade .,0.63889
"You would n't call The Good Girl a date movie -LRB- an anti-date movie is more like it -RRB- , but when it 's good , it 's good and horrid .",0.40278
"Benefits from a strong performance from Zhao , but it 's Dong Jie 's face you remember at the end .",0.375
This is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever .,0.625
"The director , Steven Shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun .",0.59722
It ultimately stands forth as an important chronicle of the abuses of one of Latin America 's most oppressive regimes .,0.5
"The movie has a soft , percolating magic , a deadpan suspense .",0.40278
A well-made and often lovely depiction of the mysteries of friendship .,0.65278
"Using his audience as a figurative port-of-call , Dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead .",0.80556
... understands that a generation defines its music as much as the music defines a generation .,0.81944
The Transporter is as lively and as fun as it is unapologetically dumb,0.68056
"As a witness to several Greek-American weddings -- but , happily , a victim of none -- I can testify to the comparative accuracy of Ms. Vardalos ' memories and insights .",0.44444
Has it ever been possible to say that Williams has truly inhabited a character ?,0.47222
It is now .,0.70833
"By presenting an impossible romance in an impossible world , Pumpkin dares us to say why either is impossible -- which forces us to confront what 's possible and what we might do to make it so .",0.73611
"An impressive debut for first-time writer-director Mark Romanek , especially considering his background is in music video .",0.83333
"An incendiary , deeply thought-provoking look at one of the most peculiar -LRB- and peculiarly venomous -RRB- bigotries in our increasingly frightening theocracy",0.81944
"All the performances are top notch and , once you get through the accents , All or Nothing becomes an emotional , though still positive , wrench of a sit .",0.59722
`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',0.73611
It 's solid and affecting and exactly as thought-provoking as it should be .,0.73611
This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,0.73611
"Parker holds true to Wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness .",0.52778
M�_nch 's genuine insight makes the film 's occasional overindulgence forgivable .,0.875
"Thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality ... takes a tongue-in-cheek attitude even as it pushes the Croc Hunter agenda .",0.93056
"Ultimately , the message of Trouble Every Day seems to be that all sexual desire disrupts life 's stasis .",0.76389
"If you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then Mostly Martha offers all the perfect ingredients to more than satisfy your appetite .",0.36111
"The film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime .",0.55556
"There are a few stabs at absurdist comedy ... but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an Iranian specialty .",0.61111
A wonderful character-based comedy .,0.5
"It would be interesting to hear from the other side , but in Talk to Her , the women are down for the count .",0.5
An endearingly offbeat romantic comedy with a great meet-cute gimmick .,0.5
"The unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right .",0.55556
"It uses an old-time formula , it 's not terribly original and it 's rather messy -- but you just have to love the big , dumb , happy movie My Big Fat Greek Wedding .",0.34722
It 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post-Soviet Russia .,0.63889
"Who knows what exactly Godard is on about in this film , but his words and images do n't have to add up to mesmerize you .",0.90278
"The tone is balanced , reflective and reasonable .",0.5
"The principals in this cast are all fine , but Bishop and Stevenson are standouts .",0.56944
"It could change America , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .",0.5
What 's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an Ikea world .,0.44444
"... if you 're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games .",0.55556
"Somewhat blurred , but Kinnear 's performance is razor sharp .",0.56944
"As a director , Mr. Ratliff wisely rejects the temptation to make fun of his subjects .",0.69444
"For anyone who remembers the '60s or is interested in one man 's response to stroke , Ram Dass : Fierce Grace is worth seeking out .",0.54167
"Intriguing and beautiful film , but those of you who read the book are likely to be disappointed .",0.43056
The New Guy does have a heart .,0.5
"Now , if it only had a brain .",0.52778
A savvy exploration of paranoia and insecurity in America 's culture of fear .,0.375
"Legendary Irish writer Brendan Behan 's memoir , Borstal Boy , has been given a loving screen transferral .",0.36111
"The film 's greatest asset is how much it 's not just another connect-the-dots , spy-on-the-run picture .",0.72222
This clever caper movie has twists worthy of David Mamet and is enormous fun for thinking audiences .,0.20833
It 's one of the saddest films I have ever seen that still manages to be uplifting but not overly sentimental .,0.22222
"Morton is , as usual , brilliant .",0.55556
"Even with all those rough edges safely sanded down , the American Insomnia is still pretty darned good .",0.51389
"I do n't know precisely what to make of Steven Soderbergh 's Full Frontal , though that did n't stop me from enjoying much of it .",0.5
The tug of war that ensues is as much a snapshot of modern China in microcosm as it is a crash course in movie mythology .,0.55556
"Nearly surreal , dabbling in French , this is no simple movie , and you 'll be taking a risk if you choose to see it .",0.56944
"I enjoyed the ride -LRB- bumps and all -RRB- , creamy depth , and ultimate theme .",0.5
"You could say that it 's slow at times , you could say that a few of the characters act in ways that real people would n't , but one thing you could n't say is that Alias Betty is predictable .",0.61111
"Asia authors herself as Anna Battista , an Italian superstar and aspiring directress who just happens to be her own worst enemy .",0.54167
"Roman Coppola may never become the filmmaker his Dad was , but heck -- few filmmakers will .",0.30556
"But based on CQ , I 'll certainly be keeping an eye out for his next project .",0.33333
"An amusing , breezily apolitical documentary about life on the campaign trail .",0.38889
High on melodrama .,0.5
"But it 's emotionally engrossing , too , thanks to strong , credible performances from the whole cast .",0.59722
"Finally , a genre movie that delivers -- in a couple of genres , no less .",0.77778
